hum_trust,auto_trust,adv_group_over,adv_auto_lvl,adv_hum_lvl,pedA_ov,pedH_ov,trust_dif,ped_dif,dis1,dis2,M8D,M1D,M2D,M3D,M4D,M5D,M6D,M7D
3.16666666666667,3,2,2,1,2.8,3.4,.166666666666667,.6,2,2, ,2, , , ,2, , 
5,5,4,2,2,4,4,0,0,2,2, ,2,2, , , , , 
4,4,1,1,1,1,1,0,0,3,3,3, , , ,3, , , 
4,2,1,1,1,4.8,1.4,2,-3.4,3,3,3, , , , , , ,3
5,2.83333333333333,3,1,2,2.2,5,2.16666666666667,2.8,3,3, , , ,3, , ,3, 
5,3.83333333333333,2,2,1,2.8,2.6,1.16666666666667,-.2,2,1, , ,2, ,1, , , 
3,3,4,2,2,3,3,0,0,2,2, , , , , ,2, ,2
4.66666666666667,2.66666666666667,3,1,2,2.2,4.4,2,2.2,3,3, , , ,3, , ,3, 
4,3,4,2,2,3.6,4.4,1,.8,3,3, , ,3, ,3, , , 
3,5,2,2,1,4.8,2.4,-2,-2.4,2,2,2, , , , , , ,2
4,4.66666666666667,2,2,1,4,2.4,-.666666666666667,-1.6,2,2, , , ,2, , ,2, 
4.16666666666667,2.16666666666667,1,1,1,1,2.2,2,1.2,3,1,1, , , ,3, , , 
4.83333333333333,3.66666666666667,4,2,2,4.2,5,1.16666666666667,.8,3,3, , , , , ,3, ,3
4.33333333333333,5,2,2,1,5,2,-.666666666666667,-3,2,2, , , ,2, , ,2, 
3.83333333333333,4.5,1,1,1,3,1.8,-.666666666666667,-1.2,2,2, ,2,2, , , , , 
4.66666666666667,4.5,1,1,1,4.6,4.6,.166666666666667,0,2,2, ,2, , , ,2, , 
4.33333333333333,3.66666666666667,4,2,2,3.8,4.2,.666666666666667,.4,2,3,3, , , ,2, , , 
5,4.16666666666667,3,1,2,3.4,5,.833333333333333,1.6,3,3,3, , , , , , ,3
4.66666666666667,3.83333333333333,3,1,2,1.6,5,.833333333333333,3.4,3,3, ,3,3, , , , , 
3.83333333333333,3,3,1,2,2.6,4,.833333333333333,1.4,3,3, , ,3, ,3, , , 
4.33333333333333,3,3,1,2,4,5,1.33333333333333,1,3,2,2, , , ,3, , , 
2,3.83333333333333,1,1,1,2.6,2.8,-1.83333333333333,.2,2,2, , ,2, ,2, , , 
5,1.66666666666667,3,1,2,1.4,5,3.33333333333333,3.6,3,3, , , ,3, , ,3, 
5,4,4,2,2,5,5,1,0,3,3, , , ,3, , ,3, 
5,5,2,2,1,5,1,0,-4,3,1, ,3,1, , , , , 
3.66666666666667,3.66666666666667,4,2,2,4.4,4.8,0,.399999999999999,2,3,2, , , , , , ,3
4.83333333333333,3.5,4,2,2,3.4,4.6,1.33333333333333,1.2,1,3,1, , , , , , ,3
3.5,2.33333333333333,1,1,1,2.2,2.8,1.16666666666667,.6,1,3, , , ,1, , ,3, 
4,4,3,1,2,2,4,0,2,2,1, , , ,1, , ,2, 
4.33333333333333,4,4,2,2,4.8,4.6,.333333333333333,-.2,1,1, ,1, , , ,1, , 
4.66666666666667,3.5,1,1,1,4.2,3.4,1.16666666666667,-.8,3,3, , , , , ,3, ,3
2.16666666666667,4.5,2,2,1,3.8,1.4,-2.33333333333333,-2.4,2,2, , , , , ,2, ,2
3,3,2,2,1,4.4,2.8,0,-1.6,3,3,3, , , ,3, , , 
5,3,3,1,2,2.6,4.8,2,2.2,1,1, , , ,1, , ,1, 
5,2.83333333333333,4,2,2,5,5,2.16666666666667,0,2,3, , , , , ,3, ,2
3.5,3.66666666666667,2,2,1,5,2.2,-.166666666666667,-2.8,2,2, , ,2, ,2, , , 
1,1,1,1,1,1,1,0,0,2,2, ,2,2, , , , , 
4.5,5,1,1,1,2.8,1,-.5,-1.8,2,2, ,2,2, , , , , 
3.83333333333333,4,1,1,1,4,3.8,-.166666666666667,-.2,3,3, , , , , ,3, ,3
3.66666666666667,3.66666666666667,3,1,2,2.4,4.2,0,1.8,3,2, , , ,3, , ,2, 
4.16666666666667,2.66666666666667,2,2,1,4.8,3.6,1.5,-1.2,3,3, ,3, , , ,3, , 
3,4,2,2,1,4.4,2.2,-1,-2.2,2,2, ,2, , , ,2, , 
4.83333333333333,4,3,1,2,4.2,4.6,.833333333333333,.399999999999999,3,3,3, , , ,3, , , 
4.33333333333333,4,4,2,2,3.6,4.8,.333333333333333,1.2,3,3, , ,3, ,3, , , 
4.5,4.66666666666667,4,2,2,3.6,5,-.166666666666667,1.4,1,1, , , ,1, , ,1, 
4.33333333333333,3.33333333333333,1,1,1,1.8,2.8,1,1,3,3, , , , , ,3, ,3
2.66666666666667,3.33333333333333,2,2,1,3.8,1.8,-.666666666666667,-2,3,1, , ,3, ,1, , , 
2,5,2,2,1,5,1,-3,-4,2,2,2, , , , , , ,2
2.66666666666667,2.66666666666667,1,1,1,3.4,2.8,0,-.6,3,1, , , ,1, , ,3, 
2.83333333333333,3.33333333333333,4,2,2,3,3.8,-.5,.8,2,2, ,2,2, , , , , 
2.66666666666667,2.83333333333333,1,1,1,2,2.6,-.166666666666667,.6,2,2, , , ,2, , ,2, 
5,5,4,2,2,4,4,0,0,2,2, , , , , ,2, ,2
2.66666666666667,2.16666666666667,1,1,1,1.4,1.6,.5,.2,3,3,3, , , , , , ,3
5,3.66666666666667,3,1,2,3.8,4,1.33333333333333,.2,3,3, ,3, , , ,3, , 
5,2.33333333333333,3,1,2,3,4,2.66666666666667,1,3,3, , ,3, ,3, , , 
4.33333333333333,4.16666666666667,3,1,2,3.8,3.8,.166666666666666,0,3,2,2, , , ,3, , , 
4.5,5,4,2,2,2.6,5,-.5,2.4,2,2, ,2, , , ,2, , 
3.5,3.33333333333333,2,2,1,3,2.8,.166666666666667,-.2,3,2,3, , , , , , ,2
3,3.16666666666667,3,1,2,3,3,-.166666666666667,0,2,2, , , ,2, , ,2, 
4,4,1,1,1,2,3,0,1,2,3,3, , , ,2, , , 
4.5,3.16666666666667,3,1,2,2.8,4.2,1.33333333333333,1.4,1,3, , ,1, ,3, , , 
3.83333333333333,4,4,2,2,4.2,3.4,-.166666666666667,-.8,2,2,2, , , , , , ,2
3.16666666666667,3,4,2,2,4,5,.166666666666667,1,3,2, , , , , ,2, ,3
3.66666666666667,3.66666666666667,1,1,1,2.2,2.4,0,.2,3,1, ,3,1, , , , , 
3.16666666666667,2.66666666666667,1,1,1,2.8,2.2,.5,-.6,3,3, , , ,3, , ,3, 
4.16666666666667,4.66666666666667,2,2,1,4.6,3,-.5,-1.6,2,3,3, , , ,2, , , 
3.16666666666667,5,2,2,1,5,1,-1.83333333333333,-4,2,2, ,2, , , ,2, , 
2.33333333333333,4.33333333333333,2,2,1,4.2,2.2,-2,-2,2,2, , , ,2, , ,2, 
4.16666666666667,3.66666666666667,2,2,1,4,4.2,.5,.2,3,3, ,3,3, , , , , 
1,5,1,1,1,1,1,-4,0,2,2, , , , , ,2, ,2
4,5,2,2,1,4,2,-1,-2,2,3, ,3, , , ,2, , 
4,2.66666666666667,3,1,2,2,4,1.33333333333333,2,3,3, , , ,3, , ,3, 
3,3.5,4,2,2,4,4,-.5,0,2,2,2, , , ,2, , , 
4,5,1,1,1,4,2,-1,-2,2,2, , ,2, ,2, , , 
2.66666666666667,2.5,4,2,2,3.6,3.2,.166666666666667,-.4,2,2,2, , , , , , ,2
4.83333333333333,3.33333333333333,4,2,2,3.8,5,1.5,1.2,3,3, ,3,3, , , , , 
2,2.83333333333333,1,1,1,3,3,-.833333333333333,0,2,2, , , ,2, , ,2, 
2.83333333333333,2.5,2,2,1,3.2,4,.333333333333333,.8,2,2, ,2, , , ,2, , 
2.83333333333333,3.5,1,1,1,2,3,-.666666666666667,1,2,2, , , ,2, , ,2, 
5,2.5,3,1,2,1,4.8,2.5,3.8,3,3, ,3,3, , , , , 
4,2.33333333333333,4,2,2,4,4,1.66666666666667,0,3,3,3, , , ,3, , , 
3,3,3,1,2,3,3,0,0,2,2, , ,2, ,2, , , 
3,2.83333333333333,2,2,1,4,2.2,.166666666666667,-1.8,1,1,1, , , , , , ,1
4.5,4.16666666666667,3,1,2,4.6,5,.333333333333333,.4,1,1, , , ,1, , ,1, 
3.33333333333333,3.16666666666667,1,1,1,4,4,.166666666666667,0,2,2, ,2, , , ,2, , 
4,5,2,2,1,5,1.4,-1,-3.6,2,2,2, , , , , , ,2
2.16666666666667,4,2,2,1,4,2,-1.83333333333333,-2,2,2, , , ,2, , ,2, 
5,2,3,1,2,2,5,3,3,3,3, ,3,3, , , , , 
3.66666666666667,5,4,2,2,4.4,5,-1.33333333333333,.6,2,2, ,2, , , ,2, , 
4.16666666666667,4.16666666666667,3,1,2,3.6,5,0,1.4,2,3, , , ,3, , ,2, 
4.5,5,4,2,2,4,4,-.5,0,2,2, , , , , ,2, ,2
3.5,3.66666666666667,1,1,1,3.6,1.4,-.166666666666667,-2.2,1,2,2, , , ,1, , , 
4.83333333333333,4.16666666666667,3,1,2,2,5,.666666666666666,3,3,3, , , ,3, , ,3, 
5,2,4,2,2,4,4,3,0,3,3,3, , , ,3, , , 
3.5,3.5,2,2,1,5,1.2,0,-3.8,2,2, , ,2, ,2, , , 
4.16666666666667,1.66666666666667,3,1,2,2,4,2.5,2,3,3, , , ,3, , ,3, 
2,4,2,2,1,4,2,-2,-2,2,2, ,2,2, , , , , 
4.33333333333333,2.33333333333333,4,2,2,5,5,2,0,3,3, , , , , ,3, ,3
3.83333333333333,2.83333333333333,1,1,1,1.8,1,1,-.8,3,2,3, , , , , , ,2
5,5,4,2,2,4,4,0,0,2,3, , , ,3, , ,2, 
4.83333333333333,4,4,2,2,4,4,.833333333333333,0,3,3, , , ,3, , ,3, 
4,5,2,2,1,4,2,-1,-2,2,3, ,3, , , ,2, , 
3.83333333333333,3.66666666666667,1,1,1,3.8,3.8,.166666666666667,0,1,1,1, , , , , , ,1
4,1.33333333333333,1,1,1,2,2.2,2.66666666666667,.2,3,2, , ,3, ,2, , , 
5,2,3,1,2,2.2,4.8,3,2.6,3,3, , , ,3, , ,3, 
4,3,4,2,2,4,4,1,0,3,3, , , , , ,3, ,3
4,4,1,1,1,4,3,0,-1,3,3,3, , , ,3, , , 
5,4,3,1,2,3.4,5,1,1.6,2,2, ,2,2, , , , , 
4.83333333333333,5,4,2,2,4,4,-.166666666666667,0,3,2, , , ,2, , ,3, 
4,4.33333333333333,4,2,2,4.4,4.8,-.333333333333333,.399999999999999,2,3, , , ,2, , ,3, 
4,3.66666666666667,3,1,2,4,4.2,.333333333333333,.2,3,3, , ,3, ,3, , , 
5,1,3,1,2,2,4.2,4,2.2,3,3, , , , , ,3, ,3
4,5,2,2,1,5,2.2,-1,-2.8,2,2,2, , , ,2, , , 
2.5,3.16666666666667,2,2,1,2.8,3.4,-.666666666666667,.6,3,3,3, , , , , , ,3
3,3,1,1,1,3.4,2.4,0,-1,1,1, ,1,1, , , , , 
5,4,4,2,2,3.8,4.8,1,1,3,3, ,3, , , ,3, , 
4.5,5,4,2,2,4,4,-.5,0,3,2, , , , , ,2, ,3
4.16666666666667,2.16666666666667,3,1,2,1.8,4.6,2,2.8,3,3,3, , , , , , ,3
2,2,1,1,1,2,2,0,0,1,2, ,2, , , ,1, , 
5,3,3,1,2,3.2,4.8,2,1.6,3,3, , , ,3, , ,3, 
1,5,2,2,1,5,2,-4,-3,2,2, , ,2, ,2, , , 
4.66666666666667,4.66666666666667,4,2,2,3.8,4,0,.2,2,3,3, , , ,2, , , 
4,3.66666666666667,4,2,2,3.6,4.8,.333333333333333,1.2,3,2, , , , , ,2, ,3
4,4,1,1,1,4,2,0,-2,3,3,3, , , ,3, , , 
5,2.83333333333333,3,1,2,1,5,2.16666666666667,4,3,2, , ,3, ,2, , , 
5,4,2,2,1,5,2,1,-3,3,3, ,3, , , ,3, , 
5,1,3,1,2,1.6,5,4,3.4,3,3, , , ,3, , ,3, 
2.5,2.83333333333333,4,2,2,3,3.2,-.333333333333333,.2,1,3, ,3, , , ,1, , 
4.66666666666667,4.66666666666667,4,2,2,4.8,4.8,0,0,1,2, , , , , ,2, ,1
5,4.33333333333333,2,2,1,5,5,.666666666666667,0,3,3,3, , , , , , ,3
2.83333333333333,5,2,2,1,4,2,-2.16666666666667,-2,2,2, , ,2, ,2, , , 
4,3.33333333333333,3,1,2,2.8,4,.666666666666667,1.2,3,3, , , ,3, , ,3, 
2.33333333333333,3.5,2,2,1,4.2,1,-1.16666666666667,-3.2,1,1,1, , , , , , ,1
3.16666666666667,3,1,1,1,3.2,2.2,.166666666666667,-1,3,2, , , ,2, , ,3, 
3,3,1,1,1,2.8,2,0,-.8,2,3, ,2,3, , , , , 
4.5,3.33333333333333,3,1,2,3.2,4,1.16666666666667,.8,3,3, ,3, , , ,3, , 
3.33333333333333,3,1,1,1,3,2.6,.333333333333333,-.4,2,3, , , ,3, , ,2, 
3.33333333333333,3.16666666666667,4,2,2,2.2,4.6,.166666666666667,2.4,2,3, , , ,2, , ,3, 
3,3.16666666666667,1,1,1,2,2.2,-.166666666666667,.2,2,3, ,3, , , ,2, , 
3,3,1,1,1,2,2,0,0,2,1,2, , , , , , ,1
4.16666666666667,4.83333333333333,4,2,2,4.6,4.8,-.666666666666666,.2,2,3,3, , , ,2, , , 
4.83333333333333,4,4,2,2,4.4,4.6,.833333333333333,.199999999999999,3,3, , , ,3, , ,3, 
4.33333333333333,4,4,2,2,3.6,4,.333333333333333,.4,3,2,2, , , ,3, , , 
5,4.16666666666667,3,1,2,3,5,.833333333333333,2,3,3, , ,3, ,3, , , 
3.16666666666667,4.16666666666667,1,1,1,3.4,2.6,-1,-.8,3,1, ,3,1, , , , , 
2.33333333333333,5,2,2,1,5,2,-2.66666666666667,-3,2,2, ,2,2, , , , , 
5,4,4,2,2,3.2,5,1,1.8,3,3, , , ,3, , ,3, 
4,4,2,2,1,4,4,0,0,1,3, , , , , ,3, ,1
3.83333333333333,2.16666666666667,1,1,1,2,1.8,1.66666666666667,-.2,3,2, , , , , ,2, ,3
5,2,3,1,2,2.8,5,3,2.2,3,3, , ,3, ,3, , , 
5,3,3,1,2,2,5,2,3,3,3,3, , , , , , ,3
3,3,2,2,1,4,2,0,-2,2,2,2, , , ,2, , , 
4.16666666666667,2.66666666666667,1,1,1,2.2,2.4,1.5,.2,3,3, , , , , ,3, ,3
4.16666666666667,5,2,2,1,4,2,-.833333333333333,-2,2,2, , ,2, ,2, , , 
3.83333333333333,3.16666666666667,1,1,1,2.2,2.8,.666666666666667,.6,3,3, , , ,3, , ,3, 
4.83333333333333,4,3,1,2,4,5,.833333333333333,1,3,3,3, , , , , , ,3
3.66666666666667,5,4,2,2,5,5,-1.33333333333333,0,2,2,2, , , , , , ,2
3,3.16666666666667,1,1,1,2.8,2.6,-.166666666666667,-.2,2,1, ,1, , , ,2, , 
4.5,2.33333333333333,3,1,2,1,4.4,2.16666666666667,3.4,3,3, ,3, , , ,3, , 
3.33333333333333,4.83333333333333,2,2,1,5,1,-1.5,-4,2,2, , , ,2, , ,2, 
3.16666666666667,3.66666666666667,3,1,2,3.2,3.4,-.5,.2,3,2, , , , , ,2, ,3
3.33333333333333,2.66666666666667,1,1,1,1,1,.666666666666667,0,3,3, , , ,3, , ,3, 
4,4,2,2,1,4,2.4,0,-1.6,2,1, ,2,1, , , , , 
4,3.83333333333333,4,2,2,5,4.8,.166666666666667,-.2,2,3, , , ,2, , ,3, 
5,4.33333333333333,3,1,2,4.8,5,.666666666666667,.2,3,3,3, , , ,3, , , 
2,4,2,2,1,3.8,2.4,-2,-1.4,2,2, , , , , ,2, ,2
4.83333333333333,2.83333333333333,3,1,2,1,5,2,4,3,3, ,3,3, , , , , 
4.5,4.33333333333333,4,2,2,5,5,.166666666666667,0,3,3,3, , , ,3, , , 
4.5,1.5,1,1,1,1,2,3,1,3,3,3, , , , , , ,3
5,5,4,2,2,5,5,0,0,3,2, , ,3, ,2, , , 
3.66666666666667,4,1,1,1,3.8,3.4,-.333333333333333,-.4,3,2, , ,3, ,2, , , 
2.5,5,2,2,1,5,2.2,-2.5,-2.8,2,2, , ,2, ,2, , , 
3.83333333333333,4.5,3,1,2,2.4,5,-.666666666666667,2.6,3,3, , , , , ,3, ,3
4,3.83333333333333,2,2,1,4.8,4,.166666666666667,-.8,3,3, , , ,3, , ,3, 
4,4.33333333333333,2,2,1,4,2,-.333333333333333,-2,2,2, , , ,2, , ,2, 
3.83333333333333,5,4,2,2,4.2,4,-1.16666666666667,-.2,2,2,2, , , ,2, , , 
5,5,1,1,1,5,3,0,-2,3,3,3, , , , , , ,3
3.83333333333333,3.16666666666667,3,1,2,3.2,4.2,.666666666666667,1,3,3, ,3, , , ,3, , 
2.66666666666667,2,1,1,1,2,2,.666666666666667,0,3,1, , , ,1, , ,3, 
4.66666666666667,3.33333333333333,4,2,2,4.2,4.8,1.33333333333333,.6,3,3, , , ,3, , ,3, 
2.5,3.5,2,2,1,4.4,4,-1,-.4,2,3,3, , , ,2, , , 
4.5,4.5,3,1,2,3,4,0,1,1,3,1, , , , , , ,3
3.83333333333333,4.16666666666667,2,2,1,4.6,4.4,-.333333333333333,-.199999999999999,3,1, ,1, , , ,3, , 
4,4,4,2,2,4,4,0,0,3,2, , ,3, ,2, , , 
5,5,3,1,2,4,4,0,0,2,2, , , ,2, , ,2, 
4.5,3.33333333333333,3,1,2,4,4.8,1.16666666666667,.8,3,3, ,3, , , ,3, , 
5,4,4,2,2,5,5,1,0,3,3, , , ,3, , ,3, 
4.83333333333333,2,2,2,1,4,2.8,2.83333333333333,-1.2,3,3, , ,3, ,3, , , 
5,4,1,1,1,4,2,1,-2,3,2, ,2, , , ,3, , 
5,4,4,2,2,4,4,1,0,3,3, ,3,3, , , , , 
4.5,4.66666666666667,3,1,2,3.8,5,-.166666666666667,1.2,3,3,3, , , ,3, , , 
1.66666666666667,4.5,1,1,1,4.4,3.6,-2.83333333333333,-.8,2,2,2, , , , , , ,2
4.16666666666667,4.5,3,1,2,4.6,5,-.333333333333333,.4,2,3, , , , , ,3, ,2
1.83333333333333,5,2,2,1,4.8,1.4,-3.16666666666667,-3.4,2,2, , , ,2, , ,2, 
4,5,4,2,2,4,3.8,-1,-.2,2,2, ,2,2, , , , , 
3.16666666666667,3.5,1,1,1,2,2,-.333333333333333,0,1,1,1, , , ,1, , , 
5,3,1,1,1,1.2,1.2,2,0,3,3, , , ,3, , ,3, 
4.5,4,2,2,1,5,4,.5,-1,3,3, ,3, , , ,3, , 
4,2,3,1,2,2,4,2,2,3,3,3, , , ,3, , , 
4.83333333333333,3.16666666666667,4,2,2,4.8,5,1.66666666666667,.2,3,3, , ,3, ,3, , , 
