"","adv_auto_lvl","adv_hum_lvl","par","adviser","trust","trust_grand_c"
"1",2,1,"1","hum",3.16666666666667,-0.59791633333333
"2",2,2,"2","hum",5,1.235417
"3",1,1,"3","hum",4,0.235417
"4",1,1,"4","hum",4,0.235417
"5",1,2,"5","hum",5,1.235417
"6",2,1,"6","hum",5,1.235417
"7",2,2,"7","hum",3,-0.764583
"8",1,2,"8","hum",4.66666666666667,0.90208366666667
"9",2,2,"9","hum",4,0.235417
"10",2,1,"10","hum",3,-0.764583
"11",2,1,"11","hum",4,0.235417
"12",1,1,"12","hum",4.16666666666667,0.40208366666667
"13",2,2,"13","hum",4.83333333333333,1.06875033333333
"14",2,1,"14","hum",4.33333333333333,0.56875033333333
"15",1,1,"15","hum",3.83333333333333,0.0687503333333299
"16",1,1,"16","hum",4.66666666666667,0.90208366666667
"17",2,2,"17","hum",4.33333333333333,0.56875033333333
"18",1,2,"18","hum",5,1.235417
"19",1,2,"19","hum",4.66666666666667,0.90208366666667
"20",1,2,"20","hum",3.83333333333333,0.0687503333333299
"21",1,2,"21","hum",4.33333333333333,0.56875033333333
"22",1,1,"22","hum",2,-1.764583
"23",1,2,"23","hum",5,1.235417
"24",2,2,"24","hum",5,1.235417
"25",2,1,"25","hum",5,1.235417
"26",2,2,"26","hum",3.66666666666667,-0.0979163333333299
"27",2,2,"27","hum",4.83333333333333,1.06875033333333
"28",1,1,"28","hum",3.5,-0.264583
"29",1,2,"29","hum",4,0.235417
"30",2,2,"30","hum",4.33333333333333,0.56875033333333
"31",1,1,"31","hum",4.66666666666667,0.90208366666667
"32",2,1,"32","hum",2.16666666666667,-1.59791633333333
"33",2,1,"33","hum",3,-0.764583
"34",1,2,"34","hum",5,1.235417
"35",2,2,"35","hum",5,1.235417
"36",2,1,"36","hum",3.5,-0.264583
"37",1,1,"37","hum",1,-2.764583
"38",1,1,"38","hum",4.5,0.735417
"39",1,1,"39","hum",3.83333333333333,0.0687503333333299
"40",1,2,"40","hum",3.66666666666667,-0.0979163333333299
"41",2,1,"41","hum",4.16666666666667,0.40208366666667
"42",2,1,"42","hum",3,-0.764583
"43",1,2,"43","hum",4.83333333333333,1.06875033333333
"44",2,2,"44","hum",4.33333333333333,0.56875033333333
"45",2,2,"45","hum",4.5,0.735417
"46",1,1,"46","hum",4.33333333333333,0.56875033333333
"47",2,1,"47","hum",2.66666666666667,-1.09791633333333
"48",2,1,"48","hum",2,-1.764583
"49",1,1,"49","hum",2.66666666666667,-1.09791633333333
"50",2,2,"50","hum",2.83333333333333,-0.93124966666667
"51",1,1,"51","hum",2.66666666666667,-1.09791633333333
"52",2,2,"52","hum",5,1.235417
"53",1,1,"53","hum",2.66666666666667,-1.09791633333333
"54",1,2,"54","hum",5,1.235417
"55",1,2,"55","hum",5,1.235417
"56",1,2,"56","hum",4.33333333333333,0.56875033333333
"57",2,2,"57","hum",4.5,0.735417
"58",2,1,"58","hum",3.5,-0.264583
"59",1,2,"59","hum",3,-0.764583
"60",1,1,"60","hum",4,0.235417
"61",1,2,"61","hum",4.5,0.735417
"62",2,2,"62","hum",3.83333333333333,0.0687503333333299
"63",2,2,"63","hum",3.16666666666667,-0.59791633333333
"64",1,1,"64","hum",3.66666666666667,-0.0979163333333299
"65",1,1,"65","hum",3.16666666666667,-0.59791633333333
"66",2,1,"66","hum",4.16666666666667,0.40208366666667
"67",2,1,"67","hum",3.16666666666667,-0.59791633333333
"68",2,1,"68","hum",2.33333333333333,-1.43124966666667
"69",2,1,"69","hum",4.16666666666667,0.40208366666667
"70",1,1,"70","hum",1,-2.764583
"71",2,1,"71","hum",4,0.235417
"72",1,2,"72","hum",4,0.235417
"73",2,2,"73","hum",3,-0.764583
"74",1,1,"74","hum",4,0.235417
"75",2,2,"75","hum",2.66666666666667,-1.09791633333333
"76",2,2,"76","hum",4.83333333333333,1.06875033333333
"77",1,1,"77","hum",2,-1.764583
"78",2,1,"78","hum",2.83333333333333,-0.93124966666667
"79",1,1,"79","hum",2.83333333333333,-0.93124966666667
"80",1,2,"80","hum",5,1.235417
"81",2,2,"81","hum",4,0.235417
"82",1,2,"82","hum",3,-0.764583
"83",2,1,"83","hum",3,-0.764583
"84",1,2,"84","hum",4.5,0.735417
"85",1,1,"85","hum",3.33333333333333,-0.43124966666667
"86",2,1,"86","hum",4,0.235417
"87",2,1,"87","hum",2.16666666666667,-1.59791633333333
"88",1,2,"88","hum",5,1.235417
"89",2,2,"89","hum",3.66666666666667,-0.0979163333333299
"90",1,2,"90","hum",4.16666666666667,0.40208366666667
"91",2,2,"91","hum",4.5,0.735417
"92",1,1,"92","hum",3.5,-0.264583
"93",1,2,"93","hum",4.83333333333333,1.06875033333333
"94",2,2,"94","hum",5,1.235417
"95",2,1,"95","hum",3.5,-0.264583
"96",1,2,"96","hum",4.16666666666667,0.40208366666667
"97",2,1,"97","hum",2,-1.764583
"98",2,2,"98","hum",4.33333333333333,0.56875033333333
"99",1,1,"99","hum",3.83333333333333,0.0687503333333299
"100",2,2,"100","hum",5,1.235417
"101",2,2,"101","hum",4.83333333333333,1.06875033333333
"102",2,1,"102","hum",4,0.235417
"103",1,1,"103","hum",3.83333333333333,0.0687503333333299
"104",1,1,"104","hum",4,0.235417
"105",1,2,"105","hum",5,1.235417
"106",2,2,"106","hum",4,0.235417
"107",1,1,"107","hum",4,0.235417
"108",1,2,"108","hum",5,1.235417
"109",2,2,"109","hum",4.83333333333333,1.06875033333333
"110",2,2,"110","hum",4,0.235417
"111",1,2,"111","hum",4,0.235417
"112",1,2,"112","hum",5,1.235417
"113",2,1,"113","hum",4,0.235417
"114",2,1,"114","hum",2.5,-1.264583
"115",1,1,"115","hum",3,-0.764583
"116",2,2,"116","hum",5,1.235417
"117",2,2,"117","hum",4.5,0.735417
"118",1,2,"118","hum",4.16666666666667,0.40208366666667
"119",1,1,"119","hum",2,-1.764583
"120",1,2,"120","hum",5,1.235417
"121",2,1,"121","hum",1,-2.764583
"122",2,2,"122","hum",4.66666666666667,0.90208366666667
"123",2,2,"123","hum",4,0.235417
"124",1,1,"124","hum",4,0.235417
"125",1,2,"125","hum",5,1.235417
"126",2,1,"126","hum",5,1.235417
"127",1,2,"127","hum",5,1.235417
"128",2,2,"128","hum",2.5,-1.264583
"129",2,2,"129","hum",4.66666666666667,0.90208366666667
"130",2,1,"130","hum",5,1.235417
"131",2,1,"131","hum",2.83333333333333,-0.93124966666667
"132",1,2,"132","hum",4,0.235417
"133",2,1,"133","hum",2.33333333333333,-1.43124966666667
"134",1,1,"134","hum",3.16666666666667,-0.59791633333333
"135",1,1,"135","hum",3,-0.764583
"136",1,2,"136","hum",4.5,0.735417
"137",1,1,"137","hum",3.33333333333333,-0.43124966666667
"138",2,2,"138","hum",3.33333333333333,-0.43124966666667
"139",1,1,"139","hum",3,-0.764583
"140",1,1,"140","hum",3,-0.764583
"141",2,2,"141","hum",4.16666666666667,0.40208366666667
"142",2,2,"142","hum",4.83333333333333,1.06875033333333
"143",2,2,"143","hum",4.33333333333333,0.56875033333333
"144",1,2,"144","hum",5,1.235417
"145",1,1,"145","hum",3.16666666666667,-0.59791633333333
"146",2,1,"146","hum",2.33333333333333,-1.43124966666667
"147",2,2,"147","hum",5,1.235417
"148",2,1,"148","hum",4,0.235417
"149",1,1,"149","hum",3.83333333333333,0.0687503333333299
"150",1,2,"150","hum",5,1.235417
"151",1,2,"151","hum",5,1.235417
"152",2,1,"152","hum",3,-0.764583
"153",1,1,"153","hum",4.16666666666667,0.40208366666667
"154",2,1,"154","hum",4.16666666666667,0.40208366666667
"155",1,1,"155","hum",3.83333333333333,0.0687503333333299
"156",1,2,"156","hum",4.83333333333333,1.06875033333333
"157",2,2,"157","hum",3.66666666666667,-0.0979163333333299
"158",1,1,"158","hum",3,-0.764583
"159",1,2,"159","hum",4.5,0.735417
"160",2,1,"160","hum",3.33333333333333,-0.43124966666667
"161",1,2,"161","hum",3.16666666666667,-0.59791633333333
"162",1,1,"162","hum",3.33333333333333,-0.43124966666667
"163",2,1,"163","hum",4,0.235417
"164",2,2,"164","hum",4,0.235417
"165",1,2,"165","hum",5,1.235417
"166",2,1,"166","hum",2,-1.764583
"167",1,2,"167","hum",4.83333333333333,1.06875033333333
"168",2,2,"168","hum",4.5,0.735417
"169",1,1,"169","hum",4.5,0.735417
"170",2,2,"170","hum",5,1.235417
"171",1,1,"171","hum",3.66666666666667,-0.0979163333333299
"172",2,1,"172","hum",2.5,-1.264583
"173",1,2,"173","hum",3.83333333333333,0.0687503333333299
"174",2,1,"174","hum",4,0.235417
"175",2,1,"175","hum",4,0.235417
"176",2,2,"176","hum",3.83333333333333,0.0687503333333299
"177",1,1,"177","hum",5,1.235417
"178",1,2,"178","hum",3.83333333333333,0.0687503333333299
"179",1,1,"179","hum",2.66666666666667,-1.09791633333333
"180",2,2,"180","hum",4.66666666666667,0.90208366666667
"181",2,1,"181","hum",2.5,-1.264583
"182",1,2,"182","hum",4.5,0.735417
"183",2,1,"183","hum",3.83333333333333,0.0687503333333299
"184",2,2,"184","hum",4,0.235417
"185",1,2,"185","hum",5,1.235417
"186",1,2,"186","hum",4.5,0.735417
"187",2,2,"187","hum",5,1.235417
"188",2,1,"188","hum",4.83333333333333,1.06875033333333
"189",1,1,"189","hum",5,1.235417
"190",2,2,"190","hum",5,1.235417
"191",1,2,"191","hum",4.5,0.735417
"192",1,1,"192","hum",1.66666666666667,-2.09791633333333
"193",1,2,"193","hum",4.16666666666667,0.40208366666667
"194",2,1,"194","hum",1.83333333333333,-1.93124966666667
"195",2,2,"195","hum",4,0.235417
"196",1,1,"196","hum",3.16666666666667,-0.59791633333333
"197",1,1,"197","hum",5,1.235417
"198",2,1,"198","hum",4.5,0.735417
"199",1,2,"199","hum",4,0.235417
"200",2,2,"200","hum",4.83333333333333,1.06875033333333
"201",2,1,"1","auto",3,-0.764583
"202",2,2,"2","auto",5,1.235417
"203",1,1,"3","auto",4,0.235417
"204",1,1,"4","auto",2,-1.764583
"205",1,2,"5","auto",2.83333333333333,-0.93124966666667
"206",2,1,"6","auto",3.83333333333333,0.0687503333333299
"207",2,2,"7","auto",3,-0.764583
"208",1,2,"8","auto",2.66666666666667,-1.09791633333333
"209",2,2,"9","auto",3,-0.764583
"210",2,1,"10","auto",5,1.235417
"211",2,1,"11","auto",4.66666666666667,0.90208366666667
"212",1,1,"12","auto",2.16666666666667,-1.59791633333333
"213",2,2,"13","auto",3.66666666666667,-0.0979163333333299
"214",2,1,"14","auto",5,1.235417
"215",1,1,"15","auto",4.5,0.735417
"216",1,1,"16","auto",4.5,0.735417
"217",2,2,"17","auto",3.66666666666667,-0.0979163333333299
"218",1,2,"18","auto",4.16666666666667,0.40208366666667
"219",1,2,"19","auto",3.83333333333333,0.0687503333333299
"220",1,2,"20","auto",3,-0.764583
"221",1,2,"21","auto",3,-0.764583
"222",1,1,"22","auto",3.83333333333333,0.0687503333333299
"223",1,2,"23","auto",1.66666666666667,-2.09791633333333
"224",2,2,"24","auto",4,0.235417
"225",2,1,"25","auto",5,1.235417
"226",2,2,"26","auto",3.66666666666667,-0.0979163333333299
"227",2,2,"27","auto",3.5,-0.264583
"228",1,1,"28","auto",2.33333333333333,-1.43124966666667
"229",1,2,"29","auto",4,0.235417
"230",2,2,"30","auto",4,0.235417
"231",1,1,"31","auto",3.5,-0.264583
"232",2,1,"32","auto",4.5,0.735417
"233",2,1,"33","auto",3,-0.764583
"234",1,2,"34","auto",3,-0.764583
"235",2,2,"35","auto",2.83333333333333,-0.93124966666667
"236",2,1,"36","auto",3.66666666666667,-0.0979163333333299
"237",1,1,"37","auto",1,-2.764583
"238",1,1,"38","auto",5,1.235417
"239",1,1,"39","auto",4,0.235417
"240",1,2,"40","auto",3.66666666666667,-0.0979163333333299
"241",2,1,"41","auto",2.66666666666667,-1.09791633333333
"242",2,1,"42","auto",4,0.235417
"243",1,2,"43","auto",4,0.235417
"244",2,2,"44","auto",4,0.235417
"245",2,2,"45","auto",4.66666666666667,0.90208366666667
"246",1,1,"46","auto",3.33333333333333,-0.43124966666667
"247",2,1,"47","auto",3.33333333333333,-0.43124966666667
"248",2,1,"48","auto",5,1.235417
"249",1,1,"49","auto",2.66666666666667,-1.09791633333333
"250",2,2,"50","auto",3.33333333333333,-0.43124966666667
"251",1,1,"51","auto",2.83333333333333,-0.93124966666667
"252",2,2,"52","auto",5,1.235417
"253",1,1,"53","auto",2.16666666666667,-1.59791633333333
"254",1,2,"54","auto",3.66666666666667,-0.0979163333333299
"255",1,2,"55","auto",2.33333333333333,-1.43124966666667
"256",1,2,"56","auto",4.16666666666667,0.40208366666667
"257",2,2,"57","auto",5,1.235417
"258",2,1,"58","auto",3.33333333333333,-0.43124966666667
"259",1,2,"59","auto",3.16666666666667,-0.59791633333333
"260",1,1,"60","auto",4,0.235417
"261",1,2,"61","auto",3.16666666666667,-0.59791633333333
"262",2,2,"62","auto",4,0.235417
"263",2,2,"63","auto",3,-0.764583
"264",1,1,"64","auto",3.66666666666667,-0.0979163333333299
"265",1,1,"65","auto",2.66666666666667,-1.09791633333333
"266",2,1,"66","auto",4.66666666666667,0.90208366666667
"267",2,1,"67","auto",5,1.235417
"268",2,1,"68","auto",4.33333333333333,0.56875033333333
"269",2,1,"69","auto",3.66666666666667,-0.0979163333333299
"270",1,1,"70","auto",5,1.235417
"271",2,1,"71","auto",5,1.235417
"272",1,2,"72","auto",2.66666666666667,-1.09791633333333
"273",2,2,"73","auto",3.5,-0.264583
"274",1,1,"74","auto",5,1.235417
"275",2,2,"75","auto",2.5,-1.264583
"276",2,2,"76","auto",3.33333333333333,-0.43124966666667
"277",1,1,"77","auto",2.83333333333333,-0.93124966666667
"278",2,1,"78","auto",2.5,-1.264583
"279",1,1,"79","auto",3.5,-0.264583
"280",1,2,"80","auto",2.5,-1.264583
"281",2,2,"81","auto",2.33333333333333,-1.43124966666667
"282",1,2,"82","auto",3,-0.764583
"283",2,1,"83","auto",2.83333333333333,-0.93124966666667
"284",1,2,"84","auto",4.16666666666667,0.40208366666667
"285",1,1,"85","auto",3.16666666666667,-0.59791633333333
"286",2,1,"86","auto",5,1.235417
"287",2,1,"87","auto",4,0.235417
"288",1,2,"88","auto",2,-1.764583
"289",2,2,"89","auto",5,1.235417
"290",1,2,"90","auto",4.16666666666667,0.40208366666667
"291",2,2,"91","auto",5,1.235417
"292",1,1,"92","auto",3.66666666666667,-0.0979163333333299
"293",1,2,"93","auto",4.16666666666667,0.40208366666667
"294",2,2,"94","auto",2,-1.764583
"295",2,1,"95","auto",3.5,-0.264583
"296",1,2,"96","auto",1.66666666666667,-2.09791633333333
"297",2,1,"97","auto",4,0.235417
"298",2,2,"98","auto",2.33333333333333,-1.43124966666667
"299",1,1,"99","auto",2.83333333333333,-0.93124966666667
"300",2,2,"100","auto",5,1.235417
"301",2,2,"101","auto",4,0.235417
"302",2,1,"102","auto",5,1.235417
"303",1,1,"103","auto",3.66666666666667,-0.0979163333333299
"304",1,1,"104","auto",1.33333333333333,-2.43124966666667
"305",1,2,"105","auto",2,-1.764583
"306",2,2,"106","auto",3,-0.764583
"307",1,1,"107","auto",4,0.235417
"308",1,2,"108","auto",4,0.235417
"309",2,2,"109","auto",5,1.235417
"310",2,2,"110","auto",4.33333333333333,0.56875033333333
"311",1,2,"111","auto",3.66666666666667,-0.0979163333333299
"312",1,2,"112","auto",1,-2.764583
"313",2,1,"113","auto",5,1.235417
"314",2,1,"114","auto",3.16666666666667,-0.59791633333333
"315",1,1,"115","auto",3,-0.764583
"316",2,2,"116","auto",4,0.235417
"317",2,2,"117","auto",5,1.235417
"318",1,2,"118","auto",2.16666666666667,-1.59791633333333
"319",1,1,"119","auto",2,-1.764583
"320",1,2,"120","auto",3,-0.764583
"321",2,1,"121","auto",5,1.235417
"322",2,2,"122","auto",4.66666666666667,0.90208366666667
"323",2,2,"123","auto",3.66666666666667,-0.0979163333333299
"324",1,1,"124","auto",4,0.235417
"325",1,2,"125","auto",2.83333333333333,-0.93124966666667
"326",2,1,"126","auto",4,0.235417
"327",1,2,"127","auto",1,-2.764583
"328",2,2,"128","auto",2.83333333333333,-0.93124966666667
"329",2,2,"129","auto",4.66666666666667,0.90208366666667
"330",2,1,"130","auto",4.33333333333333,0.56875033333333
"331",2,1,"131","auto",5,1.235417
"332",1,2,"132","auto",3.33333333333333,-0.43124966666667
"333",2,1,"133","auto",3.5,-0.264583
"334",1,1,"134","auto",3,-0.764583
"335",1,1,"135","auto",3,-0.764583
"336",1,2,"136","auto",3.33333333333333,-0.43124966666667
"337",1,1,"137","auto",3,-0.764583
"338",2,2,"138","auto",3.16666666666667,-0.59791633333333
"339",1,1,"139","auto",3.16666666666667,-0.59791633333333
"340",1,1,"140","auto",3,-0.764583
"341",2,2,"141","auto",4.83333333333333,1.06875033333333
"342",2,2,"142","auto",4,0.235417
"343",2,2,"143","auto",4,0.235417
"344",1,2,"144","auto",4.16666666666667,0.40208366666667
"345",1,1,"145","auto",4.16666666666667,0.40208366666667
"346",2,1,"146","auto",5,1.235417
"347",2,2,"147","auto",4,0.235417
"348",2,1,"148","auto",4,0.235417
"349",1,1,"149","auto",2.16666666666667,-1.59791633333333
"350",1,2,"150","auto",2,-1.764583
"351",1,2,"151","auto",3,-0.764583
"352",2,1,"152","auto",3,-0.764583
"353",1,1,"153","auto",2.66666666666667,-1.09791633333333
"354",2,1,"154","auto",5,1.235417
"355",1,1,"155","auto",3.16666666666667,-0.59791633333333
"356",1,2,"156","auto",4,0.235417
"357",2,2,"157","auto",5,1.235417
"358",1,1,"158","auto",3.16666666666667,-0.59791633333333
"359",1,2,"159","auto",2.33333333333333,-1.43124966666667
"360",2,1,"160","auto",4.83333333333333,1.06875033333333
"361",1,2,"161","auto",3.66666666666667,-0.0979163333333299
"362",1,1,"162","auto",2.66666666666667,-1.09791633333333
"363",2,1,"163","auto",4,0.235417
"364",2,2,"164","auto",3.83333333333333,0.0687503333333299
"365",1,2,"165","auto",4.33333333333333,0.56875033333333
"366",2,1,"166","auto",4,0.235417
"367",1,2,"167","auto",2.83333333333333,-0.93124966666667
"368",2,2,"168","auto",4.33333333333333,0.56875033333333
"369",1,1,"169","auto",1.5,-2.264583
"370",2,2,"170","auto",5,1.235417
"371",1,1,"171","auto",4,0.235417
"372",2,1,"172","auto",5,1.235417
"373",1,2,"173","auto",4.5,0.735417
"374",2,1,"174","auto",3.83333333333333,0.0687503333333299
"375",2,1,"175","auto",4.33333333333333,0.56875033333333
"376",2,2,"176","auto",5,1.235417
"377",1,1,"177","auto",5,1.235417
"378",1,2,"178","auto",3.16666666666667,-0.59791633333333
"379",1,1,"179","auto",2,-1.764583
"380",2,2,"180","auto",3.33333333333333,-0.43124966666667
"381",2,1,"181","auto",3.5,-0.264583
"382",1,2,"182","auto",4.5,0.735417
"383",2,1,"183","auto",4.16666666666667,0.40208366666667
"384",2,2,"184","auto",4,0.235417
"385",1,2,"185","auto",5,1.235417
"386",1,2,"186","auto",3.33333333333333,-0.43124966666667
"387",2,2,"187","auto",4,0.235417
"388",2,1,"188","auto",2,-1.764583
"389",1,1,"189","auto",4,0.235417
"390",2,2,"190","auto",4,0.235417
"391",1,2,"191","auto",4.66666666666667,0.90208366666667
"392",1,1,"192","auto",4.5,0.735417
"393",1,2,"193","auto",4.5,0.735417
"394",2,1,"194","auto",5,1.235417
"395",2,2,"195","auto",5,1.235417
"396",1,1,"196","auto",3.5,-0.264583
"397",1,1,"197","auto",3,-0.764583
"398",2,1,"198","auto",4,0.235417
"399",1,2,"199","auto",2,-1.764583
"400",2,2,"200","auto",3.16666666666667,-0.59791633333333
